order Number,ProductID,Discount,Quantity,returnQuantity,returnReason,Compensation Method
1,74,0.03,2,0,,
1,85,0.03,2,0,,
2,190,0.05,3,0,,
2,225,0.05,2,2,Order Cancelled,Refund
2,172,0.05,2,0,,
2,236,0.05,4,2,Product doesn't match expectations,Refund
2,82,0.05,3,0,,
2,121,0.05,1,1,Order Cancelled,Refund
2,242,0.05,2,0,,
3,289,0.05,4,0,,
3,268,0.05,4,0,,
3,134,0.05,3,0,,
4,219,0.03,3,0,,
5,230,0.05,5,2,Product doesn't match expectations,Refund
5,192,0.05,1,1,Order Cancelled,Refund
6,143,0.03,2,0,,
7,177,0,1,0,,
8,181,0.05,4,0,,
8,142,0.05,3,0,,
9,16,0.03,3,0,,
10,180,0.05,3,0,,
10,207,0.05,5,0,,
10,248,0.05,2,0,,
11,150,0.05,3,0,,
11,282,0.05,5,0,,
11,253,0.05,1,0,,
12,32,0.03,4,0,,
13,21,0.05,2,2,Order Cancelled,Refund
13,241,0.05,5,0,,
13,112,0.05,5,0,,
14,22,0.05,3,1,Product doesn't match expectations,Voucher
14,135,0.05,2,0,,
15,87,0,1,0,,
16,183,0.03,1,0,,
16,77,0.03,1,0,,
17,106,0.05,2,0,,
17,188,0.05,2,0,,
17,274,0.05,2,0,,
17,102,0.05,4,4,Order Cancelled,Voucher
17,37,0.05,2,0,,
17,8,0.05,2,0,,
18,26,0.05,3,0,,
18,89,0.05,1,0,,
18,205,0.05,5,0,,
19,128,0.03,4,1,Product is damaged,Refund
20,287,0.05,4,0,,
20,249,0.05,3,0,,
20,133,0.05,5,0,,
21,262,0.05,5,0,,
21,86,0.05,5,0,,
21,258,0.05,4,0,,
22,157,0.03,1,0,,
22,213,0.03,3,0,,
23,66,0,1,0,,
24,38,0.05,2,2,Order Cancelled,Voucher
24,136,0.05,4,0,,
25,117,0.05,2,1,Other,Refund
25,11,0.05,5,0,,
25,95,0.05,5,0,,
26,93,0.05,5,0,,
27,18,0.03,2,2,Order Cancelled,Refund
28,63,0.05,4,0,,
